project,mda_code,mda_name,lga_code,lga_name,econ_code,econ_name,func_code,func_name,amt_2024_actual,amt_2025_revised,amt_2025_perf_jan_sep,amt_2026_approved,source_page
Construction of a block of 3 office accomdation at Suleja Area office,026000300100,Urban Development Board,12622300,SULEJA,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70611,HOUSING DEVELOPMENT,0.0,0.0,0.0,150000000.0,87
"i.Purchase of of 1no executive table and chair, 6nos tables and chairs for the Offices at Headquarter Minna",026000400100,Office of The Surveyor General,12621600,CHANCHAGA,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70621,COMMUNITY DEVELOPMENT,0.0,179750000.0,0.0,95000000.0,87
ii. Purchase of 3no High Target DGPS instrument,026000400100,Office of The Surveyor General,12642600,STATE WIDE,23010133,PURCHASES OF SURVEYING EQUIPMENT,70621,COMMUNITY DEVELOPMENT,0.0,20000000.0,0.0,15000000.0,87
iii. Purchase of 3no Coloured Leser Jet Printers,026000400100,Office of The Surveyor General,12642600,STATE WIDE,23010133,PURCHASES OF SURVEYING EQUIPMENT,70621,COMMUNITY DEVELOPMENT,0.0,2000000.0,0.0,3000000.0,87
iii. Purchase of 5no Total Stations,026000400100,Office of The Surveyor General,12642600,STATE WIDE,23010133,PURCHASES OF SURVEYING EQUIPMENT,70621,COMMUNITY DEVELOPMENT,0.0,3000000.0,0.0,4000000.0,87
iv. Purchase of 3no Digital Leveling Instrument,026000400100,Office of The Surveyor General,12642600,STATE WIDE,23010133,PURCHASES OF SURVEYING EQUIPMENT,70621,COMMUNITY DEVELOPMENT,124842058.4,3000000.0,0.0,4000000.0,87
Demacation and Survey of Resolved Bandry Dispute Araes,026000400100,Office of The Surveyor General,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70621,COMMUNITY DEVELOPMENT,0.0,6000000.0,0.0,10000000.0,87
i. Extention of Horizontal and Vertical Ground Control in Minna and Environs,026000400100,Office of The Surveyor General,12621600,CHANCHAGA,23050101,RESEARCH AND DEVELOPMENT,70621,COMMUNITY DEVELOPMENT,0.0,2000000.0,0.0,2000000.0,87
"ii. Demacation and Survey of Other Parts of Industrial Cluster, Minna",026000400100,Office of The Surveyor General,12621600,CHANCHAGA,23050101,RESEARCH AND DEVELOPMENT,70621,COMMUNITY DEVELOPMENT,0.0,2000000.0,0.0,2500000.0,87
iii. Survey of Disposed Climate of Individual Land Persel,026000400100,Office of The Surveyor General,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70621,COMMUNITY DEVELOPMENT,0.0,3000000.0,0.0,2500000.0,87
Demacation and Survey of Layouts in some Selected Araes in Minna,026000400100,Office of The Surveyor General,12621600,CHANCHAGA,23050101,RESEARCH AND DEVELOPMENT,70621,COMMUNITY DEVELOPMENT,0.0,8750000.0,0.0,6000000.0,87
i. Densification of Different Levels/Order of Controls,026000400100,Office of The Surveyor General,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70621,COMMUNITY DEVELOPMENT,0.0,11500000.0,0.0,3000000.0,87
ii. Upgrading of State and Local Government Administrative Maps,026000400100,Office of The Surveyor General,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70621,COMMUNITY DEVELOPMENT,0.0,5500000.0,0.0,1000000.0,87
iii. Upgrading of Topographic Maps of Various Skills,026000400100,Office of The Surveyor General,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70621,COMMUNITY DEVELOPMENT,0.0,2000000.0,0.0,1000000.0,87
iv. Provision of Thematic Maps for Different Purposes,026000400100,Office of The Surveyor General,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70621,COMMUNITY DEVELOPMENT,0.0,1500000.0,0.0,1000000.0,87
Construction of Grade 'C' Abattoir at Mokwa,026500100100,Ministry of Livestock & Fisheries Development,12611700,MOKOWA,23020113,CONSTRUCTION / PROVISION OF AGRICULTURAL FACILITIES,70421,AGRICULTURE,0.0,100000000.0,0.0,400000000.0,87
Drilling of solar borehole and reticulation of fish ponds at Lapai gwara,026500100100,Ministry of Livestock & Fisheries Development,12620500,BOSSO,23020105,CONSTRUCTION / PROVISION OF WATER FACILITIES,70421,AGRICULTURE,0.0,50000000.0,0.0,0.0,87
Construction of Vetrinary Clinics and side stalls at Cattle Market Mokwa,026500100100,Ministry of Livestock & Fisheries Development,12611700,MOKOWA,23020106,CONSTRUCTION / PROVISION OF HOSPITALS / HEALTH CENTRES,70761,HEALTH N.E.C.,0.0,180000000.0,0.0,0.0,87
Construction of Grade 'C' Abattoir at Lapai,026500100100,Ministry of Livestock & Fisheries Development,12611100,LAPAI,23020113,CONSTRUCTION / PROVISION OF AGRICULTURAL FACILITIES,70421,AGRICULTURE,156000000.0,100000000.0,0.0,400000000.0,87
"Provision of Hygenic Materials Such as Disinfectants, Hand Gloves and Walking Boots to Abattoir Workers/Butchers across the state",026500100100,Ministry of Livestock & Fisheries Development,12642600,STATE WIDE,23010127,PURCHASE OF AGRICULTURAL EQUIPMENT,70421,AGRICULTURE,66000000.0,20000000.0,0.0,0.0,87
Monitoring of Illegal Slaughter Slabs and Veterinary Practices,026500100100,Ministry of Livestock & Fisheries Development,12642600,STATE WIDE,23050103,MONITORING AND EVALUATION,70421,AGRICULTURE,0.0,5000000.0,0.0,0.0,87
Renovation of Government owned Veterinary Hospitals and Area offices across the State,026500100100,Ministry of Livestock & Fisheries Development,12642600,STATE WIDE,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70761,HEALTH N.E.C.,0.0,410000000.0,0.0,0.0,87
Construction of Hay Bans at Gazzeted Grazing Reserves at Sheyi,026500100100,Ministry of Livestock & Fisheries Development,12622000,RAFI,23020113,CONSTRUCTION / PROVISION OF AGRICULTURAL FACILITIES,70421,AGRICULTURE,10000000.0,17000000.0,0.0,20000000.0,87
Clearing of 30 Hectres of Land for Pasture and Provision of Rapia Grasses for Farmers and Pastoralist in the the State,026500100100,Ministry of Livestock & Fisheries Development,12642600,STATE WIDE,23020113,CONSTRUCTION / PROVISION OF AGRICULTURAL FACILITIES,70421,AGRICULTURE,10000000.0,20000000.0,0.0,0.0,87
Rehabilitation of 3no. Earth Dams at Garun Gabas,026500100100,Ministry of Livestock & Fisheries Development,12622000,RAFI,23030104,REHABILITATION / REPAIRS - WATER FACILITIES,70421,AGRICULTURE,5000000.0,30000000.0,0.0,30000000.0,87
Gazzeting of 5 additional Grazing Reserves at Tsohon Garun Gabas,026500100100,Ministry of Livestock & Fisheries Development,12622000,RAFI,23020113,CONSTRUCTION / PROVISION OF AGRICULTURAL FACILITIES,70421,AGRICULTURE,40756250.0,68000000.0,0.0,145000000.0,87
Development 10 Hectre of Pasture Super Napier & Macuna at LIBC Tagwai & Sheyi Grazing Reserves,026500100100,Ministry of Livestock & Fisheries Development,12621600,CHANCHAGA,23020113,CONSTRUCTION / PROVISION OF AGRICULTURAL FACILITIES,70421,AGRICULTURE,5000000.0,10000000.0,0.0,27000000.0,87
Rehabilitation of Primary and Secondary Stock routes across the state,026500100100,Ministry of Livestock & Fisheries Development,12642600,STATE WIDE,23030112,REHABILITATION / REPAIRS - AGRICICULTURAL FACILITIES,70421,AGRICULTURE,50000000.0,20000000.0,0.0,35000000.0,87
Rehabilitation of livestock service center at Sheyi and Garun gabas,026500100100,Ministry of Livestock & Fisheries Development,12621600,CHANCHAGA,23030112,REHABILITATION / REPAIRS - AGRICICULTURAL FACILITIES,70421,AGRICULTURE,100000000.0,34000000.0,0.0,40000000.0,87
Constructiion of 10no. Poultry production Units across the State,026500100100,Ministry of Livestock & Fisheries Development,12642600,STATE WIDE,23020113,CONSTRUCTION / PROVISION OF AGRICULTURAL FACILITIES,70421,AGRICULTURE,0.0,300000000.0,0.0,300000000.0,87
"Purchase of 7no. Thermo scientific 150i Incubator production pultry at Poultry unit, Bosso",026500100100,Ministry of Livestock & Fisheries Development,12620500,BOSSO,23020113,CONSTRUCTION / PROVISION OF AGRICULTURAL FACILITIES,70421,AGRICULTURE,0.0,50000000.0,0.0,0.0,87
Traning and empowerment of 200 selected youth/women on Livestocks production across the State,026500100100,Ministry of Livestock & Fisheries Development,12620500,BOSSO,23010127,PURCHASE OF AGRICULTURAL EQUIPMENT,70421,AGRICULTURE,30000000.0,100000000.0,0.0,0.0,87
Rehabilitation of Rabbitary centre Bosso,026500100100,Ministry of Livestock & Fisheries Development,12620500,BOSSO,23030112,REHABILITATION / REPAIRS - AGRICICULTURAL FACILITIES,70421,AGRICULTURE,20000000.0,5000000.0,0.0,100000000.0,87
Re-construction of Rabbitry house at Tagwai.,026500100100,Ministry of Livestock & Fisheries Development,12620500,BOSSO,23030112,REHABILITATION / REPAIRS - AGRICICULTURAL FACILITIES,70421,AGRICULTURE,10000000.0,25000000.0,0.0,0.0,87
Renovation of Existing Structures at LIBCTagwai,026500100100,Ministry of Livestock & Fisheries Development,12620500,BOSSO,23030112,REHABILITATION / REPAIRS - AGRICICULTURAL FACILITIES,70421,AGRICULTURE,10000000.0,28000000.0,0.0,0.0,87
Upgrading of Breeding Units for small and Large Ruminants at Tagwai,026500100100,Ministry of Livestock & Fisheries Development,12620500,BOSSO,23030112,REHABILITATION / REPAIRS - AGRICICULTURAL FACILITIES,70421,AGRICULTURE,10000000.0,25000000.0,0.0,0.0,87
Installation of 1 No. Solar borehole and 1 no. motorized bore-hole at Fish Hatchery and LIBC Tagwai.,026500100100,Ministry of Livestock & Fisheries Development,12620500,BOSSO,23020105,CONSTRUCTION / PROVISION OF WATER FACILITIES,70631,WATER SUPPLY,30000000.0,10000000.0,0.0,15000000.0,88
Construction of 3 Units Cattle Fattening Pens at LIBC Tagwai,026500100100,Ministry of Livestock & Fisheries Development,12620500,BOSSO,23020113,CONSTRUCTION / PROVISION OF AGRICULTURAL FACILITIES,70421,AGRICULTURE,10000000.0,30000000.0,0.0,120000000.0,88
Concrete Flooring of 2 Existing pen houses of 216sqm and 198sqm at LIBC Tagwai.,026500100100,Ministry of Livestock & Fisheries Development,12620500,BOSSO,23020113,CONSTRUCTION / PROVISION OF AGRICULTURAL FACILITIES,70421,AGRICULTURE,10000000.0,20000000.0,0.0,30000000.0,88
"Rehabilitation of Sheep and Goat multiplication Centre at Edotsu, Gbako LGA",026500100100,Ministry of Livestock & Fisheries Development,12620500,BOSSO,23030112,REHABILITATION / REPAIRS - AGRICICULTURAL FACILITIES,70421,AGRICULTURE,1753225128.34,86000000.0,0.0,100000000.0,88
Expansion of Indoor Hatchery at Tagwai Fish Hatchery,026500100100,Ministry of Livestock & Fisheries Development,12620500,BOSSO,23030112,REHABILITATION / REPAIRS - AGRICICULTURAL FACILITIES,70421,AGRICULTURE,23836460.96,30000000.0,0.0,500000000.0,88
Construction of 10 no. concrete ponds and 10no outdoor Nursery ponds at Tagwai Fish hatchery.,026500100100,Ministry of Livestock & Fisheries Development,12620500,BOSSO,23020113,CONSTRUCTION / PROVISION OF AGRICULTURAL FACILITIES,70423,FISHING AND HUNTING,10000000.0,55000000.0,0.0,0.0,88
"Production of 500,000 Fingerlings at Tagwai Fish Hatchery",026500100100,Ministry of Livestock & Fisheries Development,12620500,BOSSO,23020113,CONSTRUCTION / PROVISION OF AGRICULTURAL FACILITIES,70423,FISHING AND HUNTING,18000000.0,20000000.0,0.0,50000000.0,88
Data collection on water bodies and fish farms at state-wide,026500100100,Ministry of Livestock & Fisheries Development,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70482,"R & D AGRICULTURE, FORESTRY, FISHING AND HUNTING",5000000.0,17500000.0,0.0,50000000.0,88
"Purchase of 1,000 Fishing hooks, 1,000 Bundle of Fishing nets and 1,000 Bags of Fish Feeds to support farmers across the state",026500100100,Ministry of Livestock & Fisheries Development,12642600,STATE WIDE,23010127,PURCHASE OF AGRICULTURAL EQUIPMENT,70423,FISHING AND HUNTING,0.0,60000000.0,0.0,0.0,88
purchase of 150no Fish smoking kiln for Fish processing centres across the State,026500100100,Ministry of Livestock & Fisheries Development,12642600,STATE WIDE,23010127,PURCHASE OF AGRICULTURAL EQUIPMENT,70423,FISHING AND HUNTING,0.0,52500000.0,0.0,800000000.0,88
Training of 200 selected youths and Retirees on fish farming across the State,026500100100,Ministry of Livestock & Fisheries Development,12642600,STATE WIDE,23050108,Skills Acquisition,70482,"R & D AGRICULTURE, FORESTRY, FISHING AND HUNTING",0.0,65000000.0,0.0,0.0,88
"Procurement of 3no Boats, Boats Engine and 3no Thermoregulator at Tagwai",026500100100,Ministry of Livestock & Fisheries Development,12620500,BOSSO,23050101,RESEARCH AND DEVELOPMENT,70423,FISHING AND HUNTING,0.0,25000000.0,0.0,48000000.0,88
"Procurement of 1000no multi-filament Nylon, 500 Netting Hooks and Twine floats at Tagwai.",026500100100,Ministry of Livestock & Fisheries Development,12620500,BOSSO,23010127,PURCHASE OF AGRICULTURAL EQUIPMENT,70423,FISHING AND HUNTING,0.0,52000000.0,0.0,0.0,88
Renovation of 36no ponds at Tagwai Fish Hatchery,026500100100,Ministry of Livestock & Fisheries Development,12620500,BOSSO,23030112,REHABILITATION / REPAIRS - AGRICICULTURAL FACILITIES,70423,FISHING AND HUNTING,0.0,20000000.0,0.0,0.0,88
Consultancy services on fish production in the state in collaboration with National institute for Freshwater Fisheries Research New-Bussa (NIFFR),026500100100,Ministry of Livestock & Fisheries Development,12630400,BORGU,23020113,CONSTRUCTION / PROVISION OF AGRICULTURAL FACILITIES,70423,FISHING AND HUNTING,0.0,50000000.0,0.0,0.0,88
Fencing and Total Renovation of Wuya Fish Farm,026500100100,Ministry of Livestock & Fisheries Development,12611200,LAVUN,23030112,REHABILITATION / REPAIRS - AGRICICULTURAL FACILITIES,70423,FISHING AND HUNTING,0.0,92000000.0,0.0,300000000.0,88
Consultancy Services for Livestock and Fisheries projects.,026500100100,Ministry of Livestock & Fisheries Development,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70423,FISHING AND HUNTING,0.0,3000000.0,0.0,50000000.0,88
Quarterly Monitoring & Evaluation of Livestock and fisheries projects.,026500100100,Ministry of Livestock & Fisheries Development,12642600,STATE WIDE,23050103,MONITORING AND EVALUATION,70423,FISHING AND HUNTING,0.0,15000000.0,0.0,20000000.0,88
"Enhancement of beef, cattle and sheep range (ELPRES) at Bosso",026500100100,Ministry of Livestock & Fisheries Development,12620500,BOSSO,23030112,REHABILITATION / REPAIRS - AGRICICULTURAL FACILITIES,70421,AGRICULTURE,0.0,7550000000.0,312023184.02,8077500000.0,88
Construction of Grade 'C' Abattoir at Zungeru,026500100100,Ministry of Livestock & Fisheries Development,12632500,WUSHISHI,23020113,CONSTRUCTION / PROVISION OF AGRICULTURAL FACILITIES,70421,AGRICULTURE,0.0,100000000.0,0.0,400000000.0,88
Construction of Grade 'C' Abattoir at Tafa,026500100100,Ministry of Livestock & Fisheries Development,12610100,AGAIE,23020113,CONSTRUCTION / PROVISION OF AGRICULTURAL FACILITIES,70421,AGRICULTURE,0.0,100000000.0,0.0,400000000.0,88
Development of ranging at sheyi grazing reserve,026500100100,Ministry of Livestock & Fisheries Development,12622200,SHIRORO,23020113,CONSTRUCTION / PROVISION OF AGRICULTURAL FACILITIES,70422,FORESTRY,0.0,0.0,0.0,200000000.0,88
Upgrade of feed mill project at Tagwai,026500100100,Ministry of Livestock & Fisheries Development,12620500,BOSSO,23030112,REHABILITATION / REPAIRS - AGRICICULTURAL FACILITIES,70422,FORESTRY,0.0,0.0,0.0,720000000.0,88
Renovation of training institute and staff headquaters at Tagwai,026500100100,Ministry of Livestock & Fisheries Development,12620500,BOSSO,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70422,FORESTRY,0.0,0.0,0.0,100000000.0,88
Construction of Grade 'C' Abattoir at Tafa,026500100100,Ministry of Livestock & Fisheries Development,12622400,TAFA,23020113,CONSTRUCTION / PROVISION OF AGRICULTURAL FACILITIES,70422,FORESTRY,0.0,0.0,0.0,400000000.0,88
"Enhancement of beef, cattle and sheep range (ELPRES) at Bobi",026500100100,Ministry of Livestock & Fisheries Development,12631400,MARIGA,23030112,REHABILITATION / REPAIRS - AGRICICULTURAL FACILITIES,70421,AGRICULTURE,0.0,0.0,0.0,8077500000.0,88
Raising of Nurseries trees,027000100100,Ministry of Rural Development,12642600,STATE WIDE,23040101,TREE PLANTING,70422,FORESTRY,0.0,12500000.0,0.0,0.0,88
Development of Rural Infrastructure Master Plan,027000100100,Ministry of Rural Development,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70621,COMMUNITY DEVELOPMENT,0.0,84000000.0,0.0,0.0,88
Construction of 25no. Solar powered Boreholes across the State,027000100100,Ministry of Rural Development,12642600,STATE WIDE,23020105,CONSTRUCTION / PROVISION OF WATER FACILITIES,70631,WATER SUPPLY,0.0,300000000.0,0.0,0.0,88
Construction of Self Contained Houses at mariga,027000100100,Ministry of Rural Development,12631400,MARIGA,23020102,CONSTRUCTION / PROVISION OF RESIDENTIAL BUILDINGS,70611,HOUSING DEVELOPMENT,0.0,69000000.0,0.0,0.0,88
"Training of Women and Youth on Livestock Agro Forestry Such as Goat, Pigs, Bees and Other Animals across the State",027000100100,Ministry of Rural Development,12642600,STATE WIDE,23050108,Skills Acquisition,70482,"R & D AGRICULTURE, FORESTRY, FISHING AND HUNTING",0.0,134500000.0,0.0,0.0,88
"Ward development project: boreholes, electrifications and rural roads across the State",027000100100,Ministry of Rural Development,12642600,STATE WIDE,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,0.0,2840000000.0,0.0,9864000000.0,88
Conduct of Rural infrastructure Data Survey/ Census across the state,027000100100,Ministry of Rural Development,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70621,COMMUNITY DEVELOPMENT,0.0,0.0,0.0,20000000.0,88
Construction of SMEs Commodity Facility Centres at New-Bussa,027100100100,"Ministry of Commerce, Industry and Cooperative",12630400,BORGU,23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,70442,MANUFACTURING,0.0,50000000.0,40000000.0,20000000.0,88
Development of MSMEs Data Bank and IT Platform at Minna,027100100100,"Ministry of Commerce, Industry and Cooperative",12621600,CHANCHAGA,23050102,COMPUTER SOFTWARE ACQUISITION,70481,"R & D GENERAL ECONOMIC, COMMERCIAL AND LABOUR AFFAIRS",0.0,80000000.0,75000000.0,20000000.0,88
Facelift of Entreprenuership and Skill Development centre at Kagara,027100100100,"Ministry of Commerce, Industry and Cooperative",12622000,RAFI,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70481,"R & D GENERAL ECONOMIC, COMMERCIAL AND LABOUR AFFAIRS",0.0,60000000.0,45000000.0,40000000.0,88
"Procurement of Starter Packs ( Sewing Machine, Freezers and Ovens) for 1,500 Women/Youth withAcross the State",027100100100,"Ministry of Commerce, Industry and Cooperative",12642600,STATE WIDE,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70481,"R & D GENERAL ECONOMIC, COMMERCIAL AND LABOUR AFFAIRS",0.0,70000000.0,50000000.0,40000000.0,88
"Provision of 5no. Split Ac, 22 Seater Confrence Table and Printer",027100100100,"Ministry of Commerce, Industry and Cooperative",12621600,CHANCHAGA,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70411,GENERAL ECONOMIC AND COMMERCIALAFFAIRS,0.0,10000000.0,5000000.0,10000000.0,88
purchase of 50. work benches and stools for people with special needs at Blind centre minna.,027100100100,"Ministry of Commerce, Industry and Cooperative",12620500,BOSSO,23010124,PURCHASE OF TEACHING / LEARNING AID EQUIPMENT,70481,"R & D GENERAL ECONOMIC, COMMERCIAL AND LABOUR AFFAIRS",0.0,70000000.0,30000000.0,10000000.0,88
Monitoring and evaluation of MSMEs in the state,027100100100,"Ministry of Commerce, Industry and Cooperative",12642600,STATE WIDE,23050103,MONITORING AND EVALUATION,70481,"R & D GENERAL ECONOMIC, COMMERCIAL AND LABOUR AFFAIRS",0.0,10000000.0,5000000.0,10000000.0,88
Promotion of Business Education in all the 25 LGAs,027100200100,Small Medium Enterprise and Micro Finance Agency,12642600,STATE WIDE,23050108,Skills Acquisition,70411,GENERAL ECONOMIC AND COMMERCIALAFFAIRS,0.0,50000000.0,0.0,0.0,88
Purchase of 200no. Industrial sewing machine for Women and Youth in Tailoring,027100200100,Small Medium Enterprise and Micro Finance Agency,12642600,STATE WIDE,23050108,Skills Acquisition,70411,GENERAL ECONOMIC AND COMMERCIALAFFAIRS,0.0,100000000.0,0.0,80000000.0,88
Purchase of 50no.Refrigerators for women in petty bussiness in Minna,027100200100,Small Medium Enterprise and Micro Finance Agency,12642600,STATE WIDE,23010120,PURCHASE OFCANTEEN / KITCHEN EQUIPMENT,70411,GENERAL ECONOMIC AND COMMERCIALAFFAIRS,0.0,100000000.0,0.0,15000000.0,88
Monitoring and Evaluation of SME Activities in the State,027100200100,Small Medium Enterprise and Micro Finance Agency,12642600,STATE WIDE,23050103,MONITORING AND EVALUATION,70411,GENERAL ECONOMIC AND COMMERCIALAFFAIRS,0.0,20000000.0,0.0,10000000.0,88
Data Collection on SMEs and Business Support Centres,027100200100,Small Medium Enterprise and Micro Finance Agency,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70481,"R & D GENERAL ECONOMIC, COMMERCIAL AND LABOUR AFFAIRS",0.0,20000000.0,0.0,20000000.0,88
"Provision of 5no Air Conditioners, 5no Filling Cabinet and 10no set of Tables and Chairs",027100200100,Small Medium Enterprise and Micro Finance Agency,12621600,CHANCHAGA,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70411,GENERAL ECONOMIC AND COMMERCIALAFFAIRS,0.0,10000000.0,0.0,25000000.0,88
Purchase of 4No. Desktop and 4No. Laptop Computers,031800100100,Judicial Service Commission,12621600,CHANCHAGA,23010113,PURCHASE OF COMPUTERS,70331,LAW COURTS,2040071.0,4000000.0,0.0,10000000.0,88
Creation of Website and Upgrading of of I.C.T Facility for Judicial Service Commission,031800100100,Judicial Service Commission,12621600,CHANCHAGA,23050101,RESEARCH AND DEVELOPMENT,70331,LAW COURTS,3000000.0,4000000.0,0.0,10000000.0,89
Drilling of 1No. Motorized Borehole at Judicial Service Commission,031800100100,Judicial Service Commission,12621600,CHANCHAGA,23020105,CONSTRUCTION / PROVISION OF WATER FACILITIES,70331,LAW COURTS,3500000.0,5000000.0,0.0,10000000.0,89
Building of One Wing of Additional Complex with 5no Offices,031800100100,Judicial Service Commission,12621600,CHANCHAGA,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70331,LAW COURTS,16500000.0,17000000.0,0.0,0.0,89
Purchase of Facilities for Virtual Proceedings & E-filling in the State,031800200100,High Court Headquarters,12642600,STATE WIDE,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70331,LAW COURTS,0.0,166600000.0,0.0,150000000.0,89
Fencing of High Court Suleja,031800200100,High Court Headquarters,12622300,SULEJA,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70331,LAW COURTS,0.0,100000000.0,0.0,0.0,89
"Construction of High Court Conference Hall, Minna",031800200100,High Court Headquarters,12621600,CHANCHAGA,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70331,LAW COURTS,0.0,184000000.0,0.0,370000000.0,89
Furnishing of High Court New-Bussa,031800200100,High Court Headquarters,12630400,BORGU,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70331,LAW COURTS,100000000.0,133300000.0,0.0,100000000.0,89
Provision of Solar Power and CCTV Camera for all the High Court Divisions in the State,031800200100,High Court Headquarters,12642600,STATE WIDE,23020127,CONSTRUCTION OF ICT INFRASTRUCTURES,70331,LAW COURTS,69253419.92,100000000.0,0.0,300000000.0,89
"Purchase of 20no. Civil litigation law book, 20no. Criminal law books and 20no. Laws of the Federation",031800200100,High Court Headquarters,12642600,STATE WIDE,23010125,PURCHASE OF LIBRARY BOOKS & EQUIPMENT,70331,LAW COURTS,100000000.0,20000000.0,0.0,50000000.0,89
Renovation of Chief Magistrate Residence at Minna,031800200100,High Court Headquarters,12621600,CHANCHAGA,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70331,LAW COURTS,0.0,50000000.0,0.0,160000000.0,89
Construction of Judges Residence at New Bussa,031800200100,High Court Headquarters,12630400,BORGU,23020102,CONSTRUCTION / PROVISION OF RESIDENTIAL BUILDINGS,70331,LAW COURTS,0.0,33300000.0,0.0,100000000.0,89
Construction of Fences and Magistrate Courts at across the state,031800200100,High Court Headquarters,12642600,STATE WIDE,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70331,LAW COURTS,0.0,166600000.0,45913235.0,0.0,89
Construction of Judges Quarters at Bida,031800200100,High Court Headquarters,12610300,BIDA,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70331,LAW COURTS,0.0,60000000.0,0.0,100000000.0,89
Provision of 300KVA Generator to High Court Minna,031800200100,High Court Headquarters,12621600,CHANCHAGA,23020125,CONSTRUCTION OF POWER GENERATING PLANTS,70331,LAW COURTS,0.0,60000000.0,0.0,80000000.0,89
Purchase of 2no 18 Seater Buses for High Courts in Minna,031800200100,High Court Headquarters,12621600,CHANCHAGA,23010108,PURCHASE OF BUSES,70331,LAW COURTS,0.0,70000000.0,0.0,80000000.0,89
Purchase of 2no Toyota Hilux Vans for Judges,031800200100,High Court Headquarters,12621600,CHANCHAGA,23010105,PURCHASE OF MOTOR VEHICLES,70331,LAW COURTS,0.0,170000000.0,0.0,0.0,89
Purchase of 18no Court Recording Systems for Court Proceedings,031800200100,High Court Headquarters,12621600,CHANCHAGA,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70331,LAW COURTS,0.0,376200000.0,0.0,720000000.0,89
Construction of Houses for the 3 Retired Chief Judges,031800200100,High Court Headquarters,12621600,CHANCHAGA,23020102,CONSTRUCTION / PROVISION OF RESIDENTIAL BUILDINGS,70331,LAW COURTS,0.0,200000000.0,0.0,450000000.0,89
Fencing of 90no Magistrate Courts Across the State,031800200100,High Court Headquarters,12642600,STATE WIDE,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70331,LAW COURTS,0.0,90000000.0,0.0,180000000.0,89
Provision of Books for Judges Chamber for High Courts across the State,031800200100,High Court Headquarters,12642600,STATE WIDE,23020127,CONSTRUCTION OF ICT INFRASTRUCTURES,70331,LAW COURTS,0.0,20000000.0,0.0,0.0,89
"xiv. Renovation of High Court Head Quarter, Minna",031800200100,High Court Headquarters,12621600,CHANCHAGA,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70331,LAW COURTS,0.0,0.0,0.0,400000000.0,89
iv. Re-roofing of High Court Complex Minna,031800200100,High Court Headquarters,12621600,CHANCHAGA,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70331,LAW COURTS,0.0,0.0,0.0,400000000.0,89
ii. Purchase of 7no Official Vehicles for the Judges,031800200100,High Court Headquarters,12621600,CHANCHAGA,23010105,PURCHASE OF MOTOR VEHICLES,70331,LAW COURTS,0.0,0.0,0.0,1040000000.0,89
xi. Provision of Solar Powered Energy Facilities for all the Magistrate Courts in the State,031800200100,High Court Headquarters,12642600,STATE WIDE,23020105,CONSTRUCTION / PROVISION OF WATER FACILITIES,70331,LAW COURTS,0.0,0.0,0.0,280000000.0,89
v. Provision of Bore Holes to High/Magistrate Courts New-Bussa,031800200100,High Court Headquarters,12630400,BORGU,23020105,CONSTRUCTION / PROVISION OF WATER FACILITIES,70331,LAW COURTS,0.0,0.0,0.0,40000000.0,89
