project,amt_2024_actual,amt_2025_revised,amt_2025_perf,amt_2026_approved,amt_2027_estimate,amt_2028_estimate,amt_2026_tag_nutrition,source_page,page_y_top,page_y_bottom,mda_code,mda_name,economic_code,economic_name,function_code,function_name,location_code,location_name,program_code,program_name
Purchase of AGO for fueling Turbines,0.0,0.0,0.0,400000000.0,400000000.0,400000000.0,0.0,216,0.40359,0.42157,023100100100,Ministry of Energy and Petroleum Resources,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70435,ELECTRICITY,33342400,State Wide,14100125001000,Power - General
Periodic Service of Turbines and Maintenance,1502276542.75,0.0,0.0,300000000.0,300000000.0,300000000.0,0.0,216,0.41176,0.42974,023100100100,Ministry of Energy and Petroleum Resources,23030102,REHABILITATION / REPAIRS - ELECTRICITY,70435,ELECTRICITY,33342400,State Wide,14100125001100,Power - General
Sensitisation on the use of Alternative Energy Source,451825172.69,0.0,0.0,100000000.0,100000000.0,100000000.0,0.0,216,0.41993,0.43791,023100100100,Ministry of Energy and Petroleum Resources,23050101,RESEARCH AND DEVELOPMENT,70435,ELECTRICITY,33342400,State Wide,14100125001200,Power - General
Procurement and Distribution of 55 no. 300KVA 30 no. 500KVA Transformers across the State,0.0,400000000.0,71854368.83,1400000000.0,1500000000.0,1500000000.0,0.0,216,0.4281,0.44608,023100100100,Ministry of Energy and Petroleum Resources,23010119,PURCHASE OF POWER GENERATING SET,70435,ELECTRICITY,33342400,State Wide,14100125001300,Power - General
Construction of Solar Streets Light of two LGA in each Senatorial zone,0.0,0.0,0.0,2300000000.0,4500000000.0,4500000000.0,0.0,216,0.43627,0.45425,023100100100,Ministry of Energy and Petroleum Resources,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70435,ELECTRICITY,33342400,State Wide,14100125001400,Power - General
"Rehabilitation of Electricity in Tangaza, Silame, Binji, Gudu, Yabo, Shagari, Kebbe and Tureta",0.0,500000000.0,0.0,1800000000.0,2000000000.0,2000000000.0,0.0,216,0.44444,0.46242,023100100100,Ministry of Energy and Petroleum Resources,23030102,REHABILITATION / REPAIRS - ELECTRICITY,70435,ELECTRICITY,33342400,State Wide,14100125001500,Power - General
Construction of LPG Station in Sokoto Metropolis,0.0,0.0,0.0,500000000.0,1000000000.0,1000000000.0,0.0,216,0.45261,0.47059,023100100100,Ministry of Energy and Petroleum Resources,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70435,ELECTRICITY,33342400,State Wide,14100126000100,Power - General
Procurement of LPG Gas Cylinders,0.0,0.0,0.0,500000000.0,1500000000.0,1500000000.0,0.0,216,0.46078,0.47876,023100100100,Ministry of Energy and Petroleum Resources,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70435,ELECTRICITY,33342400,State Wide,14100126000200,Power - General
Construction of 50 Solar power mini-grid across the state REA PROJECT,0.0,0.0,0.0,7500000000.0,6000000000.0,6000000000.0,0.0,216,0.46895,0.48693,023100100100,Ministry of Energy and Petroleum Resources,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70435,ELECTRICITY,33342400,State Wide,14100126000300,Power - General
Construction of new electrification projects of 50 Nos villages atleast 2 Nos in each LGAs Across the state,0.0,50000000.0,0.0,0.0,0.0,0.0,0.0,216,0.51062,0.52859,023100100200,Department for Rural Electrification,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70435,ELECTRICITY,33342400,State Wide,14100124000100,Power - General
Completion of 21 Nos of ongoing Rural Electrification projects across the state,80084200.0,200000000.0,30825760.0,100000000.0,100000000.0,100000000.0,0.0,216,0.51879,0.53676,023100100200,Department for Rural Electrification,23030102,REHABILITATION / REPAIRS - ELECTRICITY,70435,ELECTRICITY,33342400,State Wide,14100124000200,Power - General
"Repairs of Rural Electricity facilities of 100 villages (D-fuses, lightening Arreston, 4x Armoured cables etc.)",0.0,300000000.0,0.0,300000000.0,300000000.0,300000000.0,0.0,216,0.52696,0.54493,023100100200,Department for Rural Electrification,23030102,REHABILITATION / REPAIRS - ELECTRICITY,70435,ELECTRICITY,33342400,State Wide,14100124000400,Power - General
"Repairs of electricity Equipment such as transformers, RMU Breakers, feeder pillars etc. across the state",0.0,400000000.0,0.0,400000000.0,400000000.0,400000000.0,0.0,216,0.53513,0.5531,023100100200,Department for Rural Electrification,23030102,REHABILITATION / REPAIRS - ELECTRICITY,70435,ELECTRICITY,33342400,State Wide,14100124000500,Power - General
"Rehabilitation of existing projects under rural electrification, delapidated and vandalised TDN and ITC across the state.",0.0,300000000.0,0.0,121978013.72,121978013.72,121978013.72,0.0,216,0.5433,0.56127,023100100200,Department for Rural Electrification,23030102,REHABILITATION / REPAIRS - ELECTRICITY,70435,ELECTRICITY,33342400,State Wide,14100124000600,Power - General
State wide Rural Electrification Projects Including Constituency Projects,0.0,0.0,0.0,50000000.0,50000000.0,50000000.0,0.0,216,0.55147,0.56944,023100100200,Department for Rural Electrification,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70435,ELECTRICITY,33342400,State Wide,14100126000400,Power - General
Provision of Solar Security lights in the Rural Areas,0.0,0.0,0.0,0.0,100000000.0,100000000.0,0.0,216,0.55964,0.57761,023100100200,Department for Rural Electrification,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70435,ELECTRICITY,33342400,State Wide,14100126000500,Power - General
"Procurement of Electrical Materials such as Transformers, H.T & L.T poles, Alluminium conductors, Arm",0.0,0.0,0.0,100000000.0,100000000.0,100000000.0,0.0,216,0.56781,0.58578,023100100200,Department for Rural Electrification,23010119,PURCHASE OF POWER GENERATING SET70435 - ELECTRICITY,,"ored cable various sizes, feeder pillars etc.",33342400,State Wide,14100126000600,Power - General
Procurement of 1No. 15 Tonner Crane/Hiab Truck,0.0,0.0,0.0,53000000.0,53000000.0,53000000.0,0.0,216,0.5768,0.59477,023100100200,Department for Rural Electrification,23010107,PURCHASE OF TRUCKS,70435,ELECTRICITY,33342400,State Wide,14100126000700,Power - General
"PURCHASE OF 6NO. VEHICLES FOR SECCO E.G. LOW BED, TANKA,MOTOR LORRY,,AND TIPPER.",0.0,0.0,0.0,1000000000.0,1000000000.0,1000000000.0,0.0,216,0.61765,0.63562,023400100100,Ministry of Works,23010105,PURCHASE OF MOTOR VEHICLES,70451,ROAD TRANSPORT,33342400,State Wide,13100123000100,Reform of Government and Governance - General
PROCUREMENT OF HEAVY DUTY AND PLANT FOR SECCO,500000000.0,150000000.0,146939891.31,0.0,0.0,0.0,0.0,216,0.62582,0.64379,023400100100,Ministry of Works,23010105,PURCHASE OF MOTOR VEHICLES,70451,ROAD TRANSPORT,33342400,State Wide,13100123000200,Reform of Government and Governance - General
CONSTRUCTION OF 250KM OF TARRE ROADS WITHIN 30 COMMUNITIES ACROSS THE 3 SENATORIAL ZO,0.0,650000000.0,649999999.64,3000000000.0,4000000000.0,4000000000.0,0.0,216,0.63399,0.65196,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS70451 - ROAD TRANSPORT,,NES OF THE STATE,33342400,State Wide,17100123000300,Road - General
CONSTRUCTION OF RUWA WURI ILLELA MUNWADATA KALMALO (46.5km),0.0,650000000.0,0.0,0.0,150000000.0,150000000.0,0.0,216,0.64216,0.66013,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123000400,Road - General
REHABLITATION AND ASPHAITING OVERLAYOF WAMAKKO-BUNKARI-BINJI-SILAME ROAD,0.0,1000000000.0,0.0,100000000.0,1000000000.0,1000000000.0,0.0,216,0.65033,0.6683,023400100100,Ministry of Works,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123000500,Road - General
CONSTRUCTION OF ROAD FROM UNGUWAR LALLE GIDAN SALE TIDIBALE,0.0,300000000.0,0.0,30000000.0,30000000.0,30000000.0,0.0,216,0.6585,0.67647,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123000600,Road - General
CONSTRUCTION OF ROAD MANDERA DARIN GURU JABO (13)km) ROAD,0.0,2000000000.0,0.0,4800000000.0,2000000000.0,2000000000.0,0.0,216,0.66667,0.68464,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123000700,Road - General
Construction of road from Kajiji to Sanyinnawal,0.0,3000000000.0,0.0,4000000000.0,0.0,0.0,0.0,216,0.67484,0.69281,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123000800,Road - General
REHABILATATION AND ASPHALTING OVERLAY OF ILLELA -GADA ROAD,0.0,1400000000.0,0.0,5000000000.0,1000000000.0,1000000000.0,0.0,216,0.68382,0.7018,023400100100,Ministry of Works,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123000900,Road - General
CONSTRUCTION OF AND ASPHALT OVERLAY.OF KAJIJI TO ZAMFARA STATE BOADER (25.650km) ROAD,0.0,2800000000.0,0.0,4500000000.0,2000000000.0,2000000000.0,0.0,216,0.69199,0.70997,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100126000200,Road - General
CONSTRUCTION OF DANGE WABABE ROAD (8.5km),0.0,750000000.0,0.0,0.0,0.0,0.0,0.0,216,0.70016,0.71814,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123001100,Road - General
CONSTRUCTION OF DOGON KARFE AMBARURA TABANNI (25km),0.0,200000000.0,0.0,0.0,0.0,0.0,0.0,216,0.70833,0.72631,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123001300,Road - General
CONSTRUCTION OF GADA KAFFE GADABO (18km) ROAD,0.0,200000000.0,0.0,0.0,0.0,0.0,0.0,216,0.7165,0.73448,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123001400,Road - General
CONSTRUCTION OF BODINGA LUKUYAWA ROAD (5km),0.0,200000000.0,0.0,0.0,0.0,0.0,0.0,216,0.72467,0.74265,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123001500,Road - General
CONSTRUCTION OF NA BAGUDA YAGAWAL GURZAU TO TAMBUWAL ROAD (30km),0.0,500000000.0,0.0,81798501.0,181798501.0,181798501.0,0.0,216,0.73284,0.75082,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123001600,Road - General
"REPAIRS AND OVERWHOLING OF MOTOR VEHICLS,CANTER (SSTA)OF (S S T A)",0.0,150000000.0,20737500.0,0.0,0.0,0.0,0.0,216,0.74101,0.75899,023400100100,Ministry of Works,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123001800,Road - General
CONSTRUCTION ROAD FROM DURBAWA MAI KUJERA,0.0,300000000.0,0.0,0.0,500000000.0,500000000.0,0.0,216,0.74918,0.76716,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123001900,Road - General
CONSTRUCTION FROM MAIN ROAD TAMBUWAL ROMON SARKI (13km),0.0,200000000.0,0.0,1000000000.0,1000000000.0,1000000000.0,0.0,216,0.75735,0.77533,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123002300,Road - General
CONSTRUCTION RABAH GANDI BAKURA ROAD (78km),0.0,200000000.0,0.0,0.0,0.0,0.0,0.0,216,0.76552,0.7835,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123002400,Road - General
CONSTRUCTION GWADABAWA MELI GIGANE MAIN ROAD (24(km),0.0,200000000.0,0.0,1000000000.0,1000000000.0,1000000000.0,0.0,216,0.77369,0.79167,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123002500,Road - General
CONSTRUCTION DOGON DAJI SABAWA GARBA MAGAJI (38km),0.0,100000000.0,0.0,1000000000.0,1000000000.0,1000000000.0,0.0,216,0.78268,0.80065,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123002700,Road - General
"PROCUREMENT OF 4NOs WEIHTING BRIDGE AND 1NO HILUX FOR Mechanical Dept, MOW Sokoto",0.0,123000000.0,40792251.25,300000000.0,300000000.0,300000000.0,0.0,216,0.79085,0.80882,023400100100,Ministry of Works,23010105,PURCHASE OF MOTOR VEHICLES,70451,ROAD TRANSPORT,33342400,State Wide,13100123002900,Reform of Government and Governance - General
"RE-CONSTRUCTION OF POLE WIRES, TRANSFORMERS, WATER PIPES AND OTHER UTILITY SERVICES AFFECTED BY GENERAL CONSTRUCTION ACROSS THE STATE WIDE",0.0,50000000.0,44850952.2,500000000.0,1000000000.0,1000000000.0,0.0,216,0.79902,0.81699,023400100100,Ministry of Works,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,33342400,State Wide,13100123003000,Reform of Government and Governance - General
2nd PHASE LANDSCAPING SURFACE DRESSING OF SSTA TERMINAL AND OFFICE FURNITURES FOR SSTA,0.0,400000000.0,288460615.9,0.0,0.0,0.0,0.0,216,0.80719,0.82516,023400100100,Ministry of Works,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,33342400,State Wide,13100123003200,Reform of Government and Governance - General
"PROCUREMENT OF WORKING MACHINES/EQUIPMENT FOR Mechanical (Drilling, Milling Power and wel",0.0,50000000.0,50000000.0,200000000.0,400000000.0,400000000.0,0.0,216,0.81536,0.83333,023400100100,Ministry of Works,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT 70451 - ROAD TRANSPORT,,ding machine),33342400,State Wide,13100126009000,Reform of Government and Governance - General
CONSTRUCTION OF COPPERS LODGE (NYSC) AT UNGUWAR ROGO AREA SOKOTO,0.0,20000000.0,20000000.0,100000000.0,100000000.0,100000000.0,0.0,216,0.82353,0.8415,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123003500,Road - General
CONSTRUCTION OF TAMBUWAL GURZAU ROAD (25km),0.0,0.0,0.0,300000000.0,500000000.0,500000000.0,0.0,216,0.8317,0.84967,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123003600,Road - General
CONSTRUCTION OF DUKARA MAZOJI ZUGU ROAD (16km),0.0,50000000.0,0.0,0.0,0.0,0.0,0.0,216,0.83987,0.85784,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123003700,Road - General
CONSTRUCTION OF TUTSUWA TO SABON BIRNI ROAD (15km),0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,216,0.84804,0.86601,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123003800,Road - General
CONSTRUCTION OF MIL-GOMA TO DAN AJIYAWA GIDAN RUWA TO DINGYDI JUNCTION ROAD (11.km),0.0,200000000.0,0.0,0.0,0.0,0.0,0.0,216,0.85621,0.87418,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100126000300,Road - General
"CONSTRUCTION ROAD LINK FROM NIGERIA AND NIGER REPUBLIC PHASE I,II,III. (55km)",0.0,50000000.0,0.0,0.0,100000000.0,100000000.0,0.0,216,0.86438,0.88235,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123004000,Road - General
REHABILITATION OF MARNONA ISA ROAD PROJECT,0.0,300000000.0,0.0,300000000.0,500000000.0,500000000.0,0.0,216,0.87255,0.89052,023400100100,Ministry of Works,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100126000400,Road - General
CONSTRUC OF ROAD FROM DANGE TO DANCHADI ROAD (18km),0.0,250000000.0,0.0,0.0,0.0,0.0,0.0,216,0.88154,0.89951,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123004300,Road - General
CONSTRUCTION FROM ALASAN BAKAYA BARGA TO KEEBE ROAD (43.2km),0.0,300000000.0,0.0,0.0,0.0,0.0,0.0,216,0.88971,0.90768,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123004400,Road - General
CONSTRUCTION OF ROAD FROM YAKA TO BACHAKA ROAD (22km),0.0,100000000.0,0.0,1000000000.0,1000000000.0,1000000000.0,0.0,216,0.89788,0.91585,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123004600,Road - General
REHABILITATION OF ISA KWANAR ISA ROAD (8km),0.0,250000000.0,0.0,0.0,0.0,0.0,0.0,217,0.09069,0.10866,023400100100,Ministry of Works,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123004700,Road - General
STATE WIDE ROADS MAINTENANCE (SORMA),0.0,300000000.0,155894545.41,500000000.0,500000000.0,500000000.0,0.0,217,0.09886,0.11683,023400100100,Ministry of Works,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123004800,Road - General
Purchase of 1 no. Excavator and 1 no Asphalt Mixing Plant for SORMA,0.0,150000000.0,0.0,100000000.0,100000000.0,100000000.0,0.0,217,0.10703,0.125,023400100100,Ministry of Works,23010105,PURCHASE OF MOTOR VEHICLES,70451,ROAD TRANSPORT,33342400,State Wide,13100123004900,Reform of Government and Governance - General
Major Roads Maintenance Across the State,0.0,0.0,0.0,100000000.0,100000000.0,100000000.0,0.0,217,0.1152,0.13317,023400100100,Ministry of Works,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,33342400,State Wide,13100123005000,Reform of Government and Governance - General
CONSTRUCTION OF ROAD FROM KWALKWALAWA TO GIDAN BUBU ROAD,0.0,300000000.0,0.0,0.0,300000000.0,300000000.0,0.0,217,0.12337,0.14134,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123005100,Road - General
CONSTRUCTION OF SABON BIRNI GATAWA TO ISA ROAD PROJECT,0.0,1000000000.0,0.0,300000000.0,300000000.0,300000000.0,0.0,217,0.13154,0.14951,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123005200,Road - General
REHABILITATION OF ISA BAFARAWA ROAD,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,217,0.13971,0.15768,023400100100,Ministry of Works,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123005400,Road - General
CONSTRUCTION OF BALLE - KATSURA - MARAKI - KURDULLA (18km) ROAD,0.0,500000000.0,0.0,1500000000.0,500000000.0,500000000.0,0.0,217,0.14788,0.16585,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100126000500,Road - General
REHABILITATION BRIDE NI 1 AND APPROCHES ALONG TAMBUWAL -KEBBE ROAD,0.0,1700000000.0,1356834110.93,0.0,0.0,0.0,0.0,217,0.15605,0.17402,023400100100,Ministry of Works,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100126000600,Road - General
REHABILITATION OF SILAME GANDE ROAD,0.0,700000000.0,0.0,0.0,0.0,0.0,0.0,217,0.16422,0.18219,023400100100,Ministry of Works,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123005700,Road - General
RENOVATION OF GOVT. BUILDINGS STATE WIDE,0.0,50000000.0,0.0,1000000000.0,3000000000.0,3000000000.0,0.0,217,0.17239,0.19036,023400100100,Ministry of Works,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70451,ROAD TRANSPORT,33342400,State Wide,13100123005900,Reform of Government and Governance - General
"PURCHASE OF WORKSHOP/EQUIPMENTFOR MECHANICAL WORKSHOP (DRILLING,MILLING,POWER HAC",0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,217,0.18137,0.19935,023400100100,Ministry of Works,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT 70451 - ROAD TRANSPORT,,"KSAW,WELDING MACHINES.)",33342400,State Wide,13100123006100,Reform of Government and Governance - General
REHABILITATION OF WURNO HUCHI ROAD,0.0,100000000.0,0.0,1800000000.0,1800000000.0,1800000000.0,0.0,217,0.18954,0.20752,023400100100,Ministry of Works,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100126000700,Road - General
REHABILITATION OF ROMON SARKI BRIDGE AND CONSTRUC. OF 2NO.6 CELLS BOX CULVERT AND 2NO. 7 CELLS BOX CULVERT WITH RETAINING WALLS (7.600km),0.0,200000000.0,0.0,1500000000.0,1500000000.0,1500000000.0,0.0,217,0.19771,0.21569,023400100100,Ministry of Works,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100126000800,Road - General
CONSTRUCTION AND REPAIRS ON BRIDGE NO.2 AND APPROCHES ALONG TAMBUWAL- KEBBE ROAD,0.0,2400000000.0,0.0,0.0,0.0,0.0,0.0,217,0.20588,0.22386,023400100100,Ministry of Works,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100126000900,Road - General
REHABILITATION OF SHAGARI TURETA ROAD AND BRIDGE,0.0,900000000.0,0.0,100000000.0,500000000.0,500000000.0,0.0,217,0.21405,0.23203,023400100100,Ministry of Works,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123006600,Road - General
REHABILITATION OF KATAMI BIRNIN TUDU ROAD,0.0,600000000.0,0.0,0.0,0.0,0.0,0.0,217,0.22222,0.2402,023400100100,Ministry of Works,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123006700,Road - General
RECONSTRUCTION AND PROCUREMENT OF SOIL TEST LABORATORY MATERIALS/EQUIPMENTS,0.0,250000000.0,48375000.0,300000000.0,300000000.0,300000000.0,0.0,217,0.23039,0.24837,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,13100126009100,Reform of Government and Governance - General
CONSTRUCTION OF 2NO CELLS BOX CULVERTS INCLUSIVE OF RETAINING WALL AND ASPHALT-OVERLA,0.0,250000000.0,12000000.0,500000000.0,1000000000.0,1000000000.0,0.0,217,0.23856,0.25654,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS70451 - ROAD TRANSPORT,,Y FROM SILAME POLICE STATION TO SILAME BRIDGE,33342400,State Wide,17100123007000,Road - General
"Procurement of 200 angle irons, sheet metals, 150 roles conductors, 100 insulators, 250 bulbs, 5 trips o",0.0,0.0,0.0,500000000.0,500000000.0,500000000.0,0.0,217,0.24673,0.26471,023400100100,Ministry of Works,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT 70451 - ROAD TRANSPORT,,"f sand, 5 tons of cement, 200 2x2 woods and others",33342400,State Wide,13100126009200,Reform of Government and Governance - General
CONSTRUCTION OF 5 CELL BOX CULVERT/EMBACKMENT AT KAWADATA- BOYEKAI- GIYAWA TO NASAR,0.0,330000000.0,91710876.79,50000000.0,50000000.0,50000000.0,0.0,217,0.2549,0.27288,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS70451 - ROAD TRANSPORT,,AWA ROADS,33342400,State Wide,17100123007200,Road - General
REHABILITATION OF SABON BIRNI YAR'BULUTU WASHED OUT BRIDGE AND CULVERT,0.0,0.0,0.0,1750000000.0,1000000000.0,1000000000.0,0.0,217,0.26307,0.28105,023400100100,Ministry of Works,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,33342400,State Wide,13100123007300,Reform of Government and Governance - General
REHABILITATION OF TANGAZA -BALLE ROAD (33km) ROAD,0.0,600000000.0,0.0,3500000000.0,1500000000.0,1500000000.0,0.0,217,0.27124,0.28922,023400100100,Ministry of Works,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100126001000,Road - General
CONSTRUCTION OF ROAD FROM KARFEN SARKI TO BACHAKA (22km) ROAD,0.0,20000000.0,0.0,100000000.0,800000000.0,800000000.0,0.0,217,0.28023,0.2982,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123007500,Road - General
CONSTRUCTION OF GADA BYE-PASS ROAD,0.0,50000000.0,0.0,0.0,100000000.0,100000000.0,0.0,217,0.2884,0.30637,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123007600,Road - General
CONSTRUCTION OF TURETA-BELA ROAD,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,217,0.29657,0.31454,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123007700,Road - General
Procurement of 2No 2020 Model Toyota Hillux for SECCO,0.0,200000000.0,200000000.0,0.0,150000000.0,150000000.0,0.0,217,0.30474,0.32271,023400100100,Ministry of Works,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,33342400,State Wide,13100123007800,Reform of Government and Governance - General
"Rehabilitation of Works Schoo, Sokoto",0.0,100000000.0,0.0,450000000.0,450000000.0,450000000.0,0.0,217,0.31291,0.33088,023400100100,Ministry of Works,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100123008000,Road - General
Construction of office Block at SSTA,0.0,150000000.0,0.0,0.0,0.0,0.0,0.0,217,0.32108,0.33905,023400100100,Ministry of Works,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70451,ROAD TRANSPORT,33342400,State Wide,17100123008600,Road - General
SUPPORT FOR STATE WIDE ROADS MAINTENANCE,0.0,200000000.0,129550000.0,200000000.0,0.0,0.0,0.0,217,0.36193,0.3799,023400400100,Sokoto Road Maintenance Agency,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100124000700,Road - General
PROCUREMENT OF 2NO OF PLANTS AND MACHINARIES,0.0,200000000.0,0.0,200000000.0,0.0,0.0,0.0,217,0.3701,0.38807,023400400100,Sokoto Road Maintenance Agency,23010119,PURCHASE OF POWER GENERATING SET,70451,ROAD TRANSPORT,33342400,State Wide,17100124000800,Road - General
