project,amt_2025_approved,amt_2025_revised,amt_2025_perf,amt_2026_proposal,amt_2026_approved,amt_2026_tag_nutrition,amt_2026_tag_covid,amt_2026_tag_justice,amt_2026_tag_climate,source_page,page_y_top,page_y_bottom,mda_code,mda_name,economic_code,economic_name,function_code,function_name,location_code,location_name,program_code,program_name
Procurement of 100 No Grinding Machines across Q/Pan South Constituency,30000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204,0.35049,0.36846,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70421,AGRICULTURE,13131400,QUA'AN-PAN,01030322000300,"Farm inputs supply and service delivery system (improved seeds, fertilizer, agro-chemicals etc.)"
Procurement of 100 No Grinding Machines across Pankshin South Constituency,30000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204,0.35784,0.37582,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70421,AGRICULTURE,13121300,PANKSHIN,01030322000300,"Farm inputs supply and service delivery system (improved seeds, fertilizer, agro-chemicals etc.)"
Procurement of 100 No Grinding Machines across Jos South Constituency,50000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204,0.36438,0.38235,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70421,AGRICULTURE,13110600,JOS SOUTH,01030322000300,"Farm inputs supply and service delivery system (improved seeds, fertilizer, agro-chemicals etc.)"
Procurement of 100 No Grinding Machines across Barkin Ladi Constituency,30000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204,0.37092,0.38889,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70421,AGRICULTURE,13110100,BARKIN LADI,01030322000300,"Farm inputs supply and service delivery system (improved seeds, fertilizer, agro-chemicals etc.)"
Procurement of 100 No Grinding Machines Q/Pan Constituency,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204,0.37827,0.39624,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70421,AGRICULTURE,13131400,QUA'AN-PAN,01030322000300,"Farm inputs supply and service delivery system (improved seeds, fertilizer, agro-chemicals etc.)"
Procurement of 100 No Grinding Machines across Riyom Constituency,50000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204,0.3848,0.40278,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70421,AGRICULTURE,13111500,RIYOM,01030322000300,"Farm inputs supply and service delivery system (improved seeds, fertilizer, agro-chemicals etc.)"
Procurement of 100 No Grinding Machines across Mangu South Constituency,50000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204,0.39216,0.41013,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70421,AGRICULTURE,13121100,MANGU,01030322000300,"Farm inputs supply and service delivery system (improved seeds, fertilizer, agro-chemicals etc.)"
Procurement of 100 No Grinding Machines across Rukuba Irigwe Constituency,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204,0.39869,0.41667,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70421,AGRICULTURE,13110200,BASSA,01030322000300,"Farm inputs supply and service delivery system (improved seeds, fertilizer, agro-chemicals etc.)"
Procurement of 100 No Grinding Machines across Pengana Constituency,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204,0.40523,0.4232,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70421,AGRICULTURE,13110200,BASSA,01030322000300,"Farm inputs supply and service delivery system (improved seeds, fertilizer, agro-chemicals etc.)"
Procurement of 100 No Grinding Machines across Wase Constituency,70000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204,0.41258,0.43056,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70421,AGRICULTURE,13131700,WASE,01030322000300,"Farm inputs supply and service delivery system (improved seeds, fertilizer, agro-chemicals etc.)"
Procurement of 100 No Grinding Machines across Kantana Constituency,50000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204,0.41912,0.43709,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70421,AGRICULTURE,13120700,KANAM,01030322000300,"Farm inputs supply and service delivery system (improved seeds, fertilizer, agro-chemicals etc.)"
Procurement of 100 No Grinding Machines across Dengi Constituency,70000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204,0.42647,0.44444,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70421,AGRICULTURE,13120700,KANAM,01030322000300,"Farm inputs supply and service delivery system (improved seeds, fertilizer, agro-chemicals etc.)"
Procurement of 100 No Grinding Machines across Mikang Constituency,50000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204,0.43301,0.45098,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70421,AGRICULTURE,13131200,MIKANG,01030322000300,"Farm inputs supply and service delivery system (improved seeds, fertilizer, agro-chemicals etc.)"
Procurement of 100 No Grinding Machines across Kanke Constituency,70000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204,0.43954,0.45752,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70421,AGRICULTURE,13120800,KANKE,01030322000300,"Farm inputs supply and service delivery system (improved seeds, fertilizer, agro-chemicals etc.)"
"Procurement of 100 No Grinding Machines across Jos North, North Constituency",70000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204,0.4469,0.46487,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70421,AGRICULTURE,13110500,JOS NORTH,01030322000300,"Farm inputs supply and service delivery system (improved seeds, fertilizer, agro-chemicals etc.)"
Procurement of 100 No Grinding Machines across Mangu North Constituency,50000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204,0.45343,0.47141,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70421,AGRICULTURE,13121100,MANGU,01030322000300,"Farm inputs supply and service delivery system (improved seeds, fertilizer, agro-chemicals etc.)"
Renovation of Home Economics Training School Riyom,0.0,0.0,0.0,250000000.0,100000000.0,0.0,0.0,0.0,0.0,204,0.46078,0.47876,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70421,AGRICULTURE,13111500,RIYOM,01010122000100,"Legal, policy, regulations and standards, guidelines and protocols development and reviews"
Consultancy on Innovative Strengthening Small Farm Holders in Plateau State -(AUDA -NEPAD),0.0,0.0,0.0,1000000000.0,450000000.0,0.0,0.0,0.0,0.0,204,0.46732,0.48529,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23050101,RESEARCH AND DEVELOPMENT,70421,AGRICULTURE,13141800,Statewide,01010122000100,"Legal, policy, regulations and standards, guidelines and protocols development and reviews"
Development of Farmers Data Bank and Cooperatives,0.0,0.0,0.0,50000000.0,50000000.0,0.0,0.0,0.0,0.0,204,0.47386,0.49183,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23050102,COMPUTER SOFTWARE ACQUISITION,70421,AGRICULTURE,13141800,Statewide,01010122000100,"Legal, policy, regulations and standards, guidelines and protocols development and reviews"
Fertilizer/Agro inputs Testing and Quality Control Kits.,0.0,0.0,0.0,50000000.0,50000000.0,0.0,0.0,0.0,0.0,204,0.48121,0.49918,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010127,PURCHASE OF AGRICULTURAL EQUIPMENT/INPUT,70421,AGRICULTURE,13141800,Statewide,01010122000100,"Legal, policy, regulations and standards, guidelines and protocols development and reviews"
Rebuilding and refurbishing of Fertilizers Store,0.0,0.0,0.0,80000000.0,80000000.0,0.0,0.0,0.0,0.0,204,0.48775,0.50572,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23030103,REHABILITATION / REPAIRS - HOUSING,70421,AGRICULTURE,13141800,Statewide,01010122000100,"Legal, policy, regulations and standards, guidelines and protocols development and reviews"
Public Private Partnerships (PPP) for the revamping of dilapedated and moribound Projects,0.0,0.0,0.0,100000000.0,100000000.0,0.0,0.0,0.0,0.0,204,0.4951,0.51307,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23050114,SUPPORT ON PROGRAM IMPLEMENTATION,70421,AGRICULTURE,13141800,Statewide,01010122000100,"Legal, policy, regulations and standards, guidelines and protocols development and reviews"
Agricultural Mechanization Development,0.0,0.0,0.0,200000000.0,100000000.0,0.0,0.0,0.0,0.0,204,0.50163,0.51961,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70421,AGRICULTURE,13141800,Statewide,01010122000100,"Legal, policy, regulations and standards, guidelines and protocols development and reviews"
Community Planting of Economic Trees Programme (Horticulture and Seedlings) across the 17 LGAs.,0.0,0.0,0.0,50000000.0,50000000.0,0.0,0.0,0.0,0.0,204,0.50817,0.52614,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23040101,TREE PLANTING,70421,AGRICULTURE,13141800,Statewide,01010122000100,"Legal, policy, regulations and standards, guidelines and protocols development and reviews"
Agro Inputs and Service Center Programme (AGRO ONE STOP CENTERS),0.0,0.0,0.0,50000000.0,50000000.0,0.0,0.0,0.0,0.0,204,0.51552,0.5335,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010127,PURCHASE OF AGRICULTURAL EQUIPMENT/INPUT,70421,AGRICULTURE,13141800,Statewide,01010122000100,"Legal, policy, regulations and standards, guidelines and protocols development and reviews"
Development of Floriculture Value Chain,0.0,0.0,0.0,100000000.0,100000000.0,0.0,0.0,0.0,0.0,204,0.52206,0.54003,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23040101,TREE PLANTING,70421,AGRICULTURE,13141800,Statewide,01010122000100,"Legal, policy, regulations and standards, guidelines and protocols development and reviews"
Irrigation Development,0.0,0.0,0.0,300000000.0,100000000.0,0.0,0.0,0.0,0.0,204,0.52941,0.54739,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23040101,TREE PLANTING,70421,AGRICULTURE,13141800,Statewide,01010122000100,"Legal, policy, regulations and standards, guidelines and protocols development and reviews"
Mechanization Programme,0.0,0.0,0.0,300000000.0,100000000.0,0.0,0.0,0.0,0.0,204,0.53595,0.55392,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23050114,SUPPORT ON PROGRAM IMPLEMENTATION,70421,AGRICULTURE,13141800,Statewide,01010122000100,"Legal, policy, regulations and standards, guidelines and protocols development and reviews"
State Agro Processing Zones (SAPZ) Programme,0.0,0.0,0.0,500000000.0,200000000.0,0.0,0.0,0.0,0.0,204,0.54248,0.56046,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70421,AGRICULTURE,13141800,Statewide,01010122000100,"Legal, policy, regulations and standards, guidelines and protocols development and reviews"
Construction of Agro-Inputs Mall at Bukuru Landed Property,0.0,0.0,0.0,240000000.0,140000000.0,0.0,0.0,0.0,0.0,204,0.54984,0.56781,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23020113,CONSTRUCTION / PROVISION OF AGRICULTURAL FACILITIES,70421,AGRICULTURE,13110600,JOS SOUTH,01010122000100,"Legal, policy, regulations and standards, guidelines and protocols development and reviews"
Acha Value Chain Development,0.0,0.0,0.0,247600000.0,147600000.0,0.0,0.0,0.0,0.0,204,0.55637,0.57435,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23050114,SUPPORT ON PROGRAM IMPLEMENTATION,70421,AGRICULTURE,13141800,Statewide,01010122000100,"Legal, policy, regulations and standards, guidelines and protocols development and reviews"
"Counterpart funding for Potato Value Chain @N35,000,000, RAAMP @N1,190,100,000 and FADAMA @N40,000,000 (PADP)",0.0,0.0,0.0,0.0,1015100000.0,0.0,0.0,0.0,0.0,204,0.56373,0.5817,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23050114,SUPPORT ON PROGRAM IMPLEMENTATION,70421,AGRICULTURE,13141800,Statewide,01010122002000,"Legal, policy, regulations and standards, guidelines and protocols development and reviews"
Counterpart for PADP (RAAMP),0.0,0.0,0.0,0.0,1300000000.0,0.0,0.0,0.0,0.0,204,0.57026,0.58824,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23050114,SUPPORT ON PROGRAM IMPLEMENTATION,70421,AGRICULTURE,13141800,Statewide,01010122002000,"Legal, policy, regulations and standards, guidelines and protocols development and reviews"
Counterpart for PADP (SAPZ),0.0,0.0,0.0,0.0,2300000000.0,0.0,0.0,0.0,0.0,204,0.5768,0.59477,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23050114,SUPPORT ON PROGRAM IMPLEMENTATION,70421,AGRICULTURE,13141800,Statewide,01010122002000,"Legal, policy, regulations and standards, guidelines and protocols development and reviews"
Procurement of 3No Hilux Van (PLACOM),0.0,0.0,0.0,300000000.0,300000000.0,0.0,0.0,0.0,0.0,204,0.58415,0.60212,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010106,PURCHASE OF VANS,70411,GENERAL ECONOMIC AND COMMERCIALAFFAIRS,13141800,Statewide,13100122018000,Reform of Government and Governance - General
Procurement of 2No Salon Cars (PLACOM),0.0,0.0,0.0,200000000.0,200000000.0,0.0,0.0,0.0,0.0,204,0.59069,0.60866,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23040108,GREEN GROWTH MAINSTREAMING Capital Expenses,70411,GENERAL ECONOMIC AND COMMERCIALAFFAIRS,13141800,Statewide,13100122018000,Reform of Government and Governance - General
Establisgment of Marketing Information Centres to support Marjeting Information Service of PLACOM,0.0,0.0,0.0,45000000.0,45000000.0,0.0,0.0,0.0,0.0,204,0.59804,0.61601,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70411,GENERAL ECONOMIC AND COMMERCIALAFFAIRS,13141800,Statewide,13100122018000,Reform of Government and Governance - General
Procurement of PLACOM App (PLACOM),0.0,0.0,0.0,150000000.0,150000000.0,0.0,0.0,0.0,0.0,204,0.60458,0.62255,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23050102,COMPUTER SOFTWARE ACQUISITION,70411,GENERAL ECONOMIC AND COMMERCIALAFFAIRS,13141800,Statewide,13100122018000,Reform of Government and Governance - General
Remodelling of the State of the Earth Specialised 3No Warehouse Equipped with Laboratory Equipment in Shendam (PLACOM),0.0,0.0,0.0,200000000.0,200000000.0,0.0,0.0,0.0,0.0,204,0.61111,0.62908,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23030124,REHABILITATION/REPAIRS- MARKETS/PARKS,70411,GENERAL ECONOMIC AND COMMERCIALAFFAIRS,13141800,Statewide,13100122018000,Reform of Government and Governance - General
Remodelling of the State of the Earth Specialised 3No Warehouse Equipped with Laboratory Equipment in Mangu (PLACOM),0.0,0.0,0.0,200000000.0,200000000.0,0.0,0.0,0.0,0.0,204,0.61846,0.63644,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23030124,REHABILITATION/REPAIRS- MARKETS/PARKS,70411,GENERAL ECONOMIC AND COMMERCIALAFFAIRS,13141800,Statewide,13100122018000,Reform of Government and Governance - General
Remodelling of the State of the Earth Specialised 3No Warehouse Equipped with Laboratory Equipment in Barkin Ladi (PLACOM),0.0,0.0,0.0,200000000.0,200000000.0,0.0,0.0,0.0,0.0,204,0.625,0.64297,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23030124,REHABILITATION/REPAIRS- MARKETS/PARKS,70411,GENERAL ECONOMIC AND COMMERCIALAFFAIRS,13141800,Statewide,13100122018000,Reform of Government and Governance - General
Construction of 3No Modern Cold Storage Facilities each in Mangu (PLACOM),0.0,0.0,0.0,150000000.0,150000000.0,0.0,0.0,0.0,0.0,204,0.63235,0.65033,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23030124,REHABILITATION/REPAIRS- MARKETS/PARKS,70411,GENERAL ECONOMIC AND COMMERCIALAFFAIRS,13141800,Statewide,13100122018000,Reform of Government and Governance - General
Construction of 3No Modern Cold Storage Facilities each in Barkin Ladi (PLACOM),0.0,0.0,0.0,150000000.0,150000000.0,0.0,0.0,0.0,0.0,204,0.63889,0.65686,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23030124,REHABILITATION/REPAIRS- MARKETS/PARKS,70411,GENERAL ECONOMIC AND COMMERCIALAFFAIRS,13141800,Statewide,13100122018000,Reform of Government and Governance - General
Construction of 3No Modern Cold Storage Facilities each in Abuja FCT (PLACOM),0.0,0.0,0.0,150000000.0,150000000.0,0.0,0.0,0.0,0.0,204,0.64542,0.6634,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23030124,REHABILITATION/REPAIRS- MARKETS/PARKS,70411,GENERAL ECONOMIC AND COMMERCIALAFFAIRS,13141800,Statewide,13100122018000,Reform of Government and Governance - General
Leasing of 2No Sufficiently Furnished Cold Storage Warehouses 1 each in Lagos and Porthacourt for export of Plateau Commodities (PLACOM),0.0,0.0,0.0,200000000.0,200000000.0,0.0,0.0,0.0,0.0,204,0.65278,0.67075,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23030124,REHABILITATION/REPAIRS- MARKETS/PARKS,70411,GENERAL ECONOMIC AND COMMERCIALAFFAIRS,13141800,Statewide,13100122018000,Reform of Government and Governance - General
"Provision of Office Furnitures and Fitings for PLACOM Head Office, PLACOM Market and Market information Centres (PLACOM)",0.0,0.0,0.0,250000000.0,250000000.0,0.0,0.0,0.0,0.0,204,0.65931,0.67729,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70411,GENERAL ECONOMIC AND COMMERCIALAFFAIRS,13141800,Statewide,13100122018000,Reform of Government and Governance - General
"Provision of Office Equipments PLACOM Head Office, PLACOM Market and Market Information Centre (PLACOM)",0.0,0.0,0.0,200000000.0,200000000.0,0.0,0.0,0.0,0.0,204,0.66667,0.68464,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010140,PURCHASE OF OFFICE EQUIPMENT,70411,GENERAL ECONOMIC AND COMMERCIALAFFAIRS,13141800,Statewide,13100122018000,Reform of Government and Governance - General
Renovation of additional 13No Warehouses in other LGAs (PLACOM),0.0,0.0,0.0,500000000.0,500000000.0,0.0,0.0,0.0,0.0,204,0.6732,0.69118,021500100100,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23030124,REHABILITATION/REPAIRS- MARKETS/PARKS,70411,GENERAL ECONOMIC AND COMMERCIALAFFAIRS,13141800,Statewide,13100122018000,Reform of Government and Governance - General
"Purchase of 6Nos motor cycles @ N1,200,000.00 each",7200000.0,0.0,0.0,2000000.0,2000000.0,0.0,0.0,0.0,0.0,204,0.71487,0.73284,021500400100,PLATEAU STATE AGRICULTURAL MECHANIZATION SERVICES COMPANY 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010104,PURCHASE MOTOR CYCLES,70421,AGRICULTURE,13141800,Statewide,01010222000700,Agriculture sector coordination mechanisms
Purchase of 3 nos Hilux vans for Supervision,210000000.0,0.0,0.0,210000000.0,210000000.0,0.0,0.0,0.0,0.0,204,0.72141,0.73938,021500400100,PLATEAU STATE AGRICULTURAL MECHANIZATION SERVICES COMPANY 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010106,PURCHASE OF VANS,70421,AGRICULTURE,13141800,Statewide,01010222000800,Agriculture sector coordination mechanisms
"Purchase of 4Nos of Computers@N350,000.00 each.",1200000.0,0.0,0.0,1400000.0,1400000.0,0.0,0.0,0.0,0.0,204,0.72794,0.74592,021500400100,PLATEAU STATE AGRICULTURAL MECHANIZATION SERVICES COMPANY 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010113,PURCHASE OF COMPUTERS,70421,AGRICULTURE,13141800,Statewide,01010122001500,"Legal, policy, regulations and standards, guidelines and protocols development and reviews"
Acquisition of two Boxes,1700000.0,0.0,0.0,1700000.0,1700000.0,0.0,0.0,0.0,0.0,204,0.73529,0.75327,021500400100,PLATEAU STATE AGRICULTURAL MECHANIZATION SERVICES COMPANY 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010127,PURCHASE OF AGRICULTURAL EQUIPMENT/INPUT,70421,AGRICULTURE,13141800,Statewide,01010122001600,"Legal, policy, regulations and standards, guidelines and protocols development and reviews"
"Purchase of 5Nos of maize Shellers @N1,500,000.00 each",7500000.0,0.0,0.0,7500000.0,7500000.0,0.0,0.0,0.0,0.0,204,0.74183,0.7598,021500400100,PLATEAU STATE AGRICULTURAL MECHANIZATION SERVICES COMPANY 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010127,PURCHASE OF AGRICULTURAL EQUIPMENT/INPUT,70421,AGRICULTURE,13141800,Statewide,01040122000200,Modern technology for post-harvest storage and value addition
"Purchase of 5Nos of Rice Shellers @N1,500,000.00 each",12500000.0,0.0,0.0,12500000.0,12500000.0,0.0,0.0,0.0,0.0,204,0.74918,0.76716,021500400100,PLATEAU STATE AGRICULTURAL MECHANIZATION SERVICES COMPANY 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010127,PURCHASE OF AGRICULTURAL EQUIPMENT/INPUT,70421,AGRICULTURE,13141800,Statewide,01040122000300,Modern technology for post-harvest storage and value addition
